map_details,youtube_video_link
"('Good Morning Hotel', 8.4807998, 76.9701351)",https://www.youtube.com/embed/lNoQpXLL8Qc
"('Shanthi Bhavan Palliative Hospital Thrissur', 10.4317209, 76.2245026)",https://www.youtube.com/embed/7vCaDZwSF20
"(""11%C2%B000'24.5%22N 76%C2%B057'34.7%22E"", 11.0067927, 76.9570632)",https://www.youtube.com/embed/keiqgU_xzdE
"(None, 11.020677, 76.973001)",https://www.youtube.com/embed/tO-h5mln69E
"(""Ajay's Delhiwala Sweet Home"", 11.0121943, 76.9623983)",https://www.youtube.com/embed/tOD9t_WQnvQ
"('Mallika Biryani', 13.0552979, 77.6638672)",https://www.youtube.com/embed/W4FrB87SP9c
"('Tasty Corner (George Mess)', 13.0321905, 77.5672327)",https://www.youtube.com/embed/u-Lrmjn2Idg
"('PWD Rest House Vaikom', 9.7488465, 76.3900445)",https://www.youtube.com/embed/At5IAhWHSWg
"('Raja Huli Tawa Fish Fry', 12.9548031, 77.534276)",https://www.youtube.com/embed/ugZ4Ohs_uOc
"('Kunjikkaade Porotta Kada', 10.0880934, 76.3434233)",https://www.youtube.com/embed/R0JCI7Wmhzw
"('Sri Balamurugan Nadan Thattukada', 8.395382, 77.0521017)",https://www.youtube.com/embed/NkP4UQ4LXjY
"('Prasanth Hotel', 9.047858, 76.7724157)",https://www.youtube.com/embed/BJqIDUk45eM
"(""Hamza's Neychore"", 10.0158361, 76.3166711)",https://www.youtube.com/embed/90na4WWHSmU
"('Amster Overseas', 9.5667479, 76.5192566)",https://www.youtube.com/embed/ynRZLrPvr28
"('Sri Sri 108 Junglee Baba Bholenath Temple', 26.7126789, 88.2868886)",https://www.youtube.com/embed/FdAGwEo4FLE
"('Adinco Distilleries', 15.2493971, 74.0489995)",https://www.youtube.com/embed/2YaWEHFVXsk
"('Nellikka Restaurant Kalamassery', 10.0698183, 76.3312229)",https://www.youtube.com/embed/NPkQtwjRLGo
"('Nagarjuna Restaurant - Residency Road', 12.9731997, 77.6091325)",https://www.youtube.com/embed/Ky_HIY0ElRU
"('Mallika Biryani', 13.0552979, 77.6638672)",https://www.youtube.com/embed/57xrneb6ycw
"('GANESH PRASAD Hotel (Ajja Ajji Oota)', 13.3663096, 74.8036883)",https://www.youtube.com/embed/4AwAhgRBBQQ
"('Antony Chettans CuryKada Liya Caterers %E0%B4%86%E0%B4%A8%E0%B5%8D%E0%B4%B1%E0%B4%A3%E0%B4%BF %E0%B4%9A%E0%B5%87%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B4%A8%E0%B5%8D%E0%B4%B1%E0%B5%86 %E0%B4%95%E0%B4%B1%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B4%9F', 10.1891591, 76.3853909)",https://www.youtube.com/embed/YUMQl2G1o5E
"('Vaikom Fish Farm And Aqua Tourism Pvt Ltd, Near, Attara Bridge, Thittakom, Vaikom, Kerala 686607', None, None)",https://www.youtube.com/embed/m76It0SXvy4
"('Chechimarude Kada', 9.9960519, 76.3107649)",https://www.youtube.com/embed/vRU1Jq-r9is
"('Bhavya Tea Stall', 9.7079443, 76.3370295)",https://www.youtube.com/embed/ze4JZutdAJY
"('Sunnyside Kollihills, Thalakkarai, Vendlappadiptti, 4%2F103, Selurnadu, Tamil Nadu 637411', None, None)",https://www.youtube.com/embed/alRSf6IlMK0
"('Sunnyside Kollihills, Thalakkarai, Vendlappadiptti, 4%2F103, Selurnadu, Tamil Nadu 637411', None, None)",https://www.youtube.com/embed/BQku3Mq7GkA
"(""Rajan's Homely Meals"", 9.2804611, 76.3946774)",https://www.youtube.com/embed/skSaXab5WNM
"('Miracle Farm House', 9.8041388, 77.1257192)",https://www.youtube.com/embed/bVUKPjNJOBk
"('Miracle Farm House', 9.8041388, 77.1257192)",https://www.youtube.com/embed/H07nI35BZmQ
"(""9%C2%B050'28.3%22N 77%C2%B009'12.7%22E"", 9.8412062, 77.1513377)",https://www.youtube.com/embed/v_kivvZu-cM
"('TOPI VAPPA BIRIYANI NAGERCOIL BRANCH', 8.1925011, 77.4312958)",https://www.youtube.com/embed/G3AnLvguSjI
"('MG Kollam- Fortune Malayalam', 8.902386, 76.6218393)",https://www.youtube.com/embed/_NRAt67_9HQ
"('Sabu Chettante Thattukada', 9.9921995, 76.3017433)",https://www.youtube.com/embed/J00jJxftJK0
"('Ullasavadi Shappu', 9.7588889, 76.4458333)",https://www.youtube.com/embed/MBd_zdtchT0
"('%F0%9D%90%82%F0%9D%90%A1%F0%9D%90%9E%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%9A%F0%9D%90%AF%F0%9D%90%9A%F0%9D%90%A5%F0%9D%90%9A %F0%9D%90%81%F0%9D%90%9A%F0%9D%90%9C%F0%9D%90%A4%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB %F0%9D%90%82%F0%9D%90%9A%F0%9D%90%9F%F0%9D%90%9E', 10.0444579, 76.2604513)",https://www.youtube.com/embed/Rc-9322ELsQ
"('Chennai Biriyani Centre', 9.9620856, 76.3172265)",https://www.youtube.com/embed/ITHabCA8IDw
"('OCTOPUS PORK CAFE', 10.312481, 76.3375622)",https://www.youtube.com/embed/IV8vE8EUF58
"('Chennai Biriyani Centre', 9.9620856, 76.3172265)",https://www.youtube.com/embed/ITHabCA8IDw
"('OCTOPUS PORK CAFE', 10.312481, 76.3375622)",https://www.youtube.com/embed/IV8vE8EUF58
"('Hotel Damodara', 9.7627663, 76.3175046)",https://www.youtube.com/embed/g7uY0ITUqeA
"('Sree Narayana Hotel', 10.1154657, 76.5004661)",https://www.youtube.com/embed/ZVkypOMNH_I
"('Kattoor Kallu Shop', 10.1700358, 76.5266016)",https://www.youtube.com/embed/9vcbRB9HtCo
"('Hotel Abida', 10.0121685, 76.3257612)",https://www.youtube.com/embed/dTo5mZcepUQ
"('Arumanur toddy shop, Kottayam', 9.6492978, 76.5853296)",https://www.youtube.com/embed/Hu8YoGbpPk0
"('%E0%B4%A8%E0%B4%BE%E0%B4%9F%E0%B5%BB %E0%B4%8A%E0%B4%A3%E0%B5%8D%E2%80%8C %E0%B4%95%E0%B5%8A%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B5%81%E0%B4%B5%E0%B5%86%E0%B4%B3%E0%B4%BF %E0%B4%95%E0%B4%B5%E0%B4%B2 %E0%B4%8E%E0%B4%B0%E0%B4%AE%E0%B4%B2%E0%B5%8D%E0%B4%B2%E0%B5%82%E0%B5%BC', 9.8342103, 76.3092166)",https://www.youtube.com/embed/Aj6q1sjGOck
"('QX6G%2B3CJ Island Hotel, Ayinichira, Kerala 679583', None, None)",https://www.youtube.com/embed/SaV1Bdp8Qls
"('Ila Restaurant (%E0%B4%87%E0%B4%B2 )', 10.1059901, 76.3578029)",https://www.youtube.com/embed/8URYQ2ooWuA
"('Padma Cafe', 9.6908026, 76.3387451)",https://www.youtube.com/embed/hMYfnedFxv8
